"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "TOML", "MS SQL", "HTML", "Rust", "YAML", "WebAssembly Text Format", "comment", "blank", "total"
"d:\limerence\.claude\settings.local.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\limerence\.github\workflows\pi-web-static-analysis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\limerence\AGENTS.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\limerence\CLAUDE.md", "Markdown", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 120
"d:\limerence\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 2287, 0, 0, 0, 0, 0, 2, 265, 2554
"d:\limerence\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\limerence\README.md", "Markdown", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 194
"d:\limerence\README_en.md", "Markdown", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 195
"d:\limerence\config\default_character.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\limerence\crates\limerence-ai\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\limerence\crates\limerence-ai\src\client.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 0, 10, 44, 302
"d:\limerence\crates\limerence-ai\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"d:\limerence\crates\limerence-ai\src\stream.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 8, 17, 104
"d:\limerence\crates\limerence-ai\src\types.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 6, 23, 202
"d:\limerence\crates\limerence-core\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\limerence\crates\limerence-core\src\agent.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 23, 31, 208
"d:\limerence\crates\limerence-core\src\character.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 4, 12, 94
"d:\limerence\crates\limerence-core\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 2, 15, 111
"d:\limerence\crates\limerence-core\src\file_os.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 18, 104
"d:\limerence\crates\limerence-core\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\limerence\crates\limerence-core\src\memory.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 13, 34, 230
"d:\limerence\crates\limerence-core\src\notes.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 4, 10, 66
"d:\limerence\crates\limerence-core\src\session.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 18, 135
"d:\limerence\crates\limerence-core\src\tool.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 0, 0, 11, 34, 430
"d:\limerence\crates\limerence-tui\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\limerence\crates\limerence-tui\src\app.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 10, 30, 238
"d:\limerence\crates\limerence-tui\src\input.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 12, 2, 99
"d:\limerence\crates\limerence-tui\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 10, 37
"d:\limerence\crates\limerence-tui\src\ui.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 1, 22, 247
"d:\limerence\legacy-web\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\limerence\legacy-web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"d:\limerence\legacy-web\netlify.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\limerence\legacy-web\netlify\edge-functions\chat-proxy.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 93
"d:\limerence\legacy-web\netlify\edge-functions\models-proxy.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 69
"d:\limerence\legacy-web\netlify\edge-functions\web-search.ts", "TypeScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 150
"d:\limerence\legacy-web\package-lock.json", "JSON", 2489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2490
"d:\limerence\legacy-web\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\limerence\legacy-web\public\default_character.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\limerence\legacy-web\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\limerence\legacy-web\src\components\FourierHeart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 28, 20, 203
"d:\limerence\legacy-web\src\components\InputBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 7, 87
"d:\limerence\legacy-web\src\components\MessageBubble.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 2, 8, 91
"d:\limerence\legacy-web\src\components\MessageList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 9, 61
"d:\limerence\legacy-web\src\components\ParticleLenia.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 40, 44, 291
"d:\limerence\legacy-web\src\components\SettingsDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 5, 23, 308
"d:\limerence\legacy-web\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 4, 7, 130
"d:\limerence\legacy-web\src\hooks\useAgent.ts", "TypeScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 200
"d:\limerence\legacy-web\src\hooks\useSettings.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 65
"d:\limerence\legacy-web\src\hooks\useTheme.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\limerence\legacy-web\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 5, 50
"d:\limerence\legacy-web\src\lib\agent.ts", "TypeScript", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 162
"d:\limerence\legacy-web\src\lib\character.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 38
"d:\limerence\legacy-web\src\lib\llm.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 39, 268
"d:\limerence\legacy-web\src\lib\memory.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26, 159
"d:\limerence\legacy-web\src\lib\storage.ts", "TypeScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 137
"d:\limerence\legacy-web\src\lib\tools.ts", "TypeScript", 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 177
"d:\limerence\legacy-web\src\lib\types.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 111
"d:\limerence\legacy-web\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\limerence\legacy-web\src\pages\Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 6, 11, 123
"d:\limerence\legacy-web\src\pages\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 505, 0, 0, 0, 0, 0, 0, 29, 29, 563
"d:\limerence\legacy-web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\limerence\legacy-web\tsconfig.tsbuildinfo", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\limerence\legacy-web\vite.config.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\limerence\netlify.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\limerence\openclaw\.agent\workflows\update_clawdbot.md", "Markdown", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 381
"d:\limerence\openclaw\vendor\a2ui\renderers\lit\src\0.8\schemas\server_to_client_with_standard_catalog.json", "JSON", 827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 827
"d:\limerence\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\limerence\pi-web\README.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 62
"d:\limerence\pi-web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\limerence\pi-web\netlify.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\limerence\pi-web\netlify\edge-functions\chat-proxy.ts", "TypeScript", 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 271
"d:\limerence\pi-web\netlify\edge-functions\web-search.ts", "TypeScript", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 138
"d:\limerence\pi-web\oxlintrc.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\limerence\pi-web\package-lock.json", "JSON", 6731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6732
"d:\limerence\pi-web\package.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\limerence\pi-web\public\default_character.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"d:\limerence\pi-web\public\sql-wasm.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14685, 0, 163, 14848
"d:\limerence\pi-web\public\supabase-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 18, 46, 232
"d:\limerence\pi-web\scripts\check-loc.mjs", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 56
"d:\limerence\pi-web\src\app-agent.ts", "TypeScript", 0, 0, 0, 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 105, 740
"d:\limerence\pi-web\src\app-compaction.test.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 46
"d:\limerence\pi-web\src\app-compaction.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 13
"d:\limerence\pi-web\src\app-lifecycle.ts", "TypeScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 25, 164
"d:\limerence\pi-web\src\app-message-actions.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 52, 263
"d:\limerence\pi-web\src\app-render.ts", "TypeScript", 0, 0, 0, 686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 96, 817
"d:\limerence\pi-web\src\app-repair.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 91
"d:\limerence\pi-web\src\app-session.ts", "TypeScript", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 97
"d:\limerence\pi-web\src\app-state.ts", "TypeScript", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 40, 273
"d:\limerence\pi-web\src\app-workspace.ts", "TypeScript", 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 406
"d:\limerence\pi-web\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
